#1		
# boiler heat flow in W	efficiency in 1	
		
double	Efficiency (51,2)	
500000	0.2	
550000	0.23	
600000	0.27	
650000	0.31	
700000	0.34	
750000	0.38	
800000	0.41	
850000	0.44	
900000	0.47	
950000	0.50	
1000000	0.53	
1050000	0.56	
1100000	0.58	
1150000	0.61	
1200000	0.63	
1250000	0.66	
1300000	0.68	
1350000	0.70	
1400000	0.72	
1450000	0.74	
1500000	0.76	
1550000	0.77	
1600000	0.79	
1650000	0.80	
1700000	0.82	
1750000	0.83	
1800000	0.84	
1850000	0.85	
1900000	0.86	
1950000	0.87	
2000000	0.88	
2050000	0.88	
2100000	0.89	
2150000	0.89	
2200000	0.89	
2250000	0.90	
2300000	0.90	
2350000	0.90	
2400000	0.9	
2450000	0.89	
2500000	0.89	
2550000	0.88	
2600000	0.88	
2650000	0.87	
2700000	0.86	
2750000	0.86	
2800000	0.85	
2850000	0.83	
2900000	0.82	
2950000	0.81	
3000000	0.8	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
