#1		
# oil boiler heat flow in W	efficiency in 1	
		
double	Efficiency (51,2)	
800000	0.5666	
820000	0.5781	
840000	0.5894	
860000	0.6004	
880000	0.6112	
900000	0.6218	
920000	0.6321	
940000	0.6422	
960000	0.6520	
980000	0.6616	
1000000	0.6710	
1020000	0.6801	
1040000	0.6890	
1060000	0.6977	
1080000	0.7061	
1100000	0.7142	
1120000	0.7222	
1140000	0.7299	
1160000	0.7373	
1180000	0.7445	
1200000	0.7515	
1220000	0.7583	
1240000	0.7648	
1260000	0.7710	
1280000	0.7771	
1300000	0.7828	
1320000	0.7884	
1340000	0.7937	
1360000	0.7988	
1380000	0.8036	
1400000	0.8082	
1420000	0.8125	
1440000	0.8167	
1460000	0.8205	
1480000	0.8242	
1500000	0.8276	
1520000	0.8307	
1540000	0.8337	
1560000	0.8363	
1580000	0.8388	
1600000	0.8410	
1620000	0.8430	
1640000	0.8447	
1660000	0.8462	
1680000	0.8474	
1700000	0.8485	
1720000	0.8492	
1740000	0.8498	
1760000	0.8501	
1780000	0.8501	
1800000	0.8499	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
