#1		
# straw boiler heat flow in W	efficiency in 1	
		
double	Efficiency (143,2)	
400000	0.5666	
420000	0.5729	
440000	0.5792	
460000	0.5854	
480000	0.5915	
500000	0.5975	
520000	0.6035	
540000	0.6094	
560000	0.6152	
580000	0.6210	
600000	0.6267	
620000	0.6323	
640000	0.6379	
660000	0.6434	
680000	0.6488	
700000	0.6541	
720000	0.6594	
740000	0.6646	
760000	0.6698	
780000	0.6748	
800000	0.6798	
820000	0.6847	
840000	0.6896	
860000	0.6944	
880000	0.6991	
900000	0.7038	
920000	0.7083	
940000	0.7129	
960000	0.7173	
980000	0.7217	
1000000	0.7260	
1020000	0.7302	
1040000	0.7344	
1060000	0.7385	
1080000	0.7425	
1100000	0.7464	
1120000	0.7503	
1140000	0.7541	
1160000	0.7579	
1180000	0.7615	
1200000	0.7651	
1220000	0.7687	
1240000	0.7721	
1260000	0.7755	
1280000	0.7789	
1300000	0.7821	
1320000	0.7853	
1340000	0.7884	
1360000	0.7915	
1380000	0.7944	
1400000	0.7974	
1420000	0.8002	
1440000	0.8030	
1460000	0.8057	
1480000	0.8083	
1500000	0.8108	
1520000	0.8133	
1540000	0.8158	
1560000	0.8181	
1580000	0.8204	
1600000	0.8226	
1620000	0.8247	
1640000	0.8268	
1660000	0.8288	
1680000	0.8307	
1700000	0.8326	
1720000	0.8344	
1740000	0.8361	
1760000	0.8378	
1780000	0.8394	
1800000	0.8409	
1820000	0.8423	
1840000	0.8437	
1860000	0.8450	
1880000	0.8462	
1900000	0.8474	
1920000	0.8485	
1940000	0.8495	
1960000	0.8505	
1980000	0.8514	
2000000	0.8522	
2020000	0.8529	
2040000	0.8536	
2060000	0.8542	
2080000	0.8547	
2100000	0.8552	
2120000	0.8556	
2140000	0.8559	
2160000	0.8562	
2180000	0.8564	
2200000	0.8565	
2220000	0.8566	
2240000	0.8565	
2260000	0.8565	
2280000	0.8563	
2300000	0.8561	
2320000	0.8558	
2340000	0.8554	
2360000	0.8550	
2380000	0.8545	
2400000	0.8539	
2420000	0.8532	
2440000	0.8525	
2460000	0.8517	
2480000	0.8509	
2500000	0.8500	
2520000	0.8490	
2540000	0.8479	
2560000	0.8468	
2580000	0.8456	
2600000	0.8443	
2620000	0.8429	
2640000	0.8415	
2660000	0.8400	
2680000	0.8385	
2700000	0.8369	
2720000	0.8352	
2740000	0.8334	
2760000	0.8316	
2780000	0.8297	
2800000	0.8277	
2820000	0.8257	
2840000	0.8236	
2860000	0.8214	
2880000	0.8191	
2900000	0.8168	
2920000	0.8144	
2940000	0.8120	
2960000	0.8094	
2980000	0.8068	
3000000	0.8042	
3020000	0.8014	
3040000	0.7986	
3060000	0.7958	
3080000	0.7928	
3100000	0.7898	
3120000	0.7867	
3140000	0.7835	
3160000	0.7803	
3180000	0.7770	
3200000	0.7737	
3220000	0.7702	
3240000	0.7667	
