#1		
# wood boiler heat flow in W	efficiency in 1	
		
double	Efficiency (111,2)	
200000	0.5866	
220000	0.5949	
240000	0.6030	
260000	0.6110	
280000	0.6189	
300000	0.6266	
320000	0.6343	
340000	0.6418	
360000	0.6492	
380000	0.6565	
400000	0.6637	
420000	0.6708	
440000	0.6777	
460000	0.6845	
480000	0.6913	
500000	0.6979	
520000	0.7043	
540000	0.7107	
560000	0.7169	
580000	0.7231	
600000	0.7291	
620000	0.7350	
640000	0.7408	
660000	0.7464	
680000	0.7520	
700000	0.7574	
720000	0.7627	
740000	0.7679	
760000	0.7730	
780000	0.7780	
800000	0.7828	
820000	0.7875	
840000	0.7921	
860000	0.7966	
880000	0.8010	
900000	0.8053	
920000	0.8094	
940000	0.8135	
960000	0.8174	
980000	0.8212	
1000000	0.8248	
1020000	0.8284	
1040000	0.8318	
1060000	0.8352	
1080000	0.8384	
1100000	0.8415	
1120000	0.8445	
1140000	0.8473	
1160000	0.8501	
1180000	0.8527	
1200000	0.8552	
1220000	0.8576	
1240000	0.8599	
1260000	0.8620	
1280000	0.8641	
1300000	0.8660	
1320000	0.8678	
1340000	0.8695	
1360000	0.8711	
1380000	0.8725	
1400000	0.8739	
1420000	0.8751	
1440000	0.8762	
1460000	0.8772	
1480000	0.8781	
1500000	0.8788	
1520000	0.8794	
1540000	0.8800	
1560000	0.8804	
1580000	0.8807	
1600000	0.8808	
1620000	0.8809	
1640000	0.8808	
1660000	0.8807	
1680000	0.8804	
1700000	0.8800	
1720000	0.8794	
1740000	0.8788	
1760000	0.8780	
1780000	0.8771	
1800000	0.8761	
1820000	0.8750	
1840000	0.8738	
1860000	0.8725	
1880000	0.8710	
1900000	0.8694	
1920000	0.8677	
1940000	0.8659	
1960000	0.8640	
1980000	0.8619	
2000000	0.8598	
2020000	0.8575	
2040000	0.8551	
2060000	0.8526	
2080000	0.8499	
2100000	0.8472	
2120000	0.8443	
2140000	0.8413	
2160000	0.8382	
2180000	0.8350	
2200000	0.8317	
2220000	0.8282	
2240000	0.8247	
2260000	0.8210	
2280000	0.8172	
2300000	0.8133	
2320000	0.8093	
2340000	0.8051	
2360000	0.8008	
2380000	0.7965	
2400000	0.7920	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
